,sigma_sq,alpha
475,2.888898627,13.94266116
476,3.379098853,13.2024048
477,3.132077185,9.144876301
478,2.560045121,15.4426781
479,4.219842648,13.89801206
480,3.444669484,14.67781205
481,2.906226568,12.0229758
482,3.277057749,11.97445491
483,3.268741592,9.36510515
484,2.638148519,15.7577342
485,2.929290376,10.24189497
486,3.574985081,10.16115534
487,2.925137373,15.15772689
488,3.399120981,15.52097675
489,2.617217963,11.15782245
490,2.900667904,13.26352578
491,2.307984241,15.865642
492,3.18560431,8.866818846
493,3.052883858,13.16642693
494,2.719425549,16.45046257
495,2.685073853,13.32221363
496,3.269217122,10.50016619
497,3.860589718,12.60653727
498,2.798653405,16.67303838
499,4.672059179,13.64145566
500,3.167946326,11.17345153
501,3.914654252,11.44998803
502,4.485390814,16.33892291
503,4.274567099,13.42447471
504,2.166344166,15.88859898
505,3.19829769,10.1326043
506,2.619153973,13.11877484
507,2.876280055,13.29088119
508,3.247476176,10.17705879
509,5.123484993,15.02842529
510,3.464396657,11.1528142
511,3.412373656,12.9507654
512,4.576484051,10.49475566
513,2.78653984,10.74908121
514,2.72492225,13.27798958
515,2.357236509,14.13879691
516,2.499075955,11.37519911
517,3.429992469,13.18314825
518,2.807886693,12.97679746
519,1.657033556,19.08094977
520,3.844292413,18.06006239
521,3.19518299,10.12379776
522,3.288329681,14.11094286
523,2.704678371,15.21449348
524,2.802805846,13.75798575
525,3.251729434,9.564291319
526,3.085966868,18.06221033
527,4.150674753,16.18750716
528,3.075683875,9.313808429
529,2.999599036,10.81815342
530,3.205051556,9.135940923
531,4.719820137,14.25503457
532,2.94540347,12.3602521
533,3.602275851,13.08189674
534,2.433375604,18.25904948
535,3.353101353,11.22189202
536,2.846134677,11.41413632
537,3.315823193,11.89980976
538,4.75009996,13.60034445
539,3.377305512,13.01375201
540,2.612901313,10.02343402
541,3.671544751,11.22155548
542,3.577028352,11.34030878
543,4.579227657,12.9350583
544,4.853623353,11.84257553
545,2.737143885,13.40227527
546,3.255417317,11.80422545
547,2.825638467,17.95077764
548,3.466993606,11.6934617
549,4.319179968,9.761303341
550,4.606663222,20.52504884
551,3.482776834,19.91643789
552,4.103561003,10.48150606
553,3.134815504,13.46672118
554,4.632612639,12.97635707
555,2.727143026,14.07282477
556,2.982132889,9.241370271
557,2.85714873,11.13759142
558,4.25695131,14.63540307
559,2.867433777,14.85800104
560,2.707850536,15.0479839
561,3.989037534,11.57987186
562,3.249875331,15.99340951
563,3.042050365,11.76621636
564,2.317379971,13.17127536
565,3.739468089,13.32719884
566,3.29736252,13.97314191
567,2.617077286,12.50029223
568,3.903637014,11.51601045
569,3.262069664,10.67542273
570,3.120938879,9.710917084
571,3.063570389,11.97030404
572,2.506828179,13.38919867
573,4.716185577,19.15908831
574,3.597498719,16.62290291
575,2.737354322,15.05019619
576,3.082458709,13.64429952
577,3.046596093,13.09471562
578,3.477376639,13.35616475
579,2.580987887,12.13141119
580,2.882659715,11.62723175
581,4.162767977,9.419236271
582,3.17203896,11.40258769
583,3.698774868,9.553358057
584,3.043850226,12.92668567
585,3.201914326,13.60912391
586,2.956865988,13.9928697
587,3.217024076,14.22929547
